unix,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,tb_base
1571961600000,0.3012,0.5,0.2,0.376,22543439.71,1572047999999,7270730.397066,21101,11181380.27,3590527.192481,0,
1572048000000,0.376,0.3795,0.2503,0.262,11681713.87,1572134399999,3437779.449128,13078,4612983.66,1368634.906949,0,
1572134400000,0.262,0.2736,0.2084,0.2121,6204081.96,1572220799999,1448658.727781,6695,2223786.66,523208.799691,0,
1572220800000,0.2136,0.25,0.205,0.2126,7968877.3,1572307199999,1815430.772099,7246,3294579.81,753165.923443,0,
1572307200000,0.2133,0.2229,0.2076,0.211,3277198.86,1572393599999,702009.191804,3107,1240842.21,266607.769612,0,
1572393600000,0.211,0.214,0.1932,0.1974,2725399.59,1572479999999,551700.702936,2531,1049183.05,213043.128582,0,
1572480000000,0.1962,0.2096,0.1816,0.1921,5337839.39,1572566399999,1050404.412378,2940,2128304.16,418542.613542,0,
1572566400000,0.193,0.1967,0.1869,0.1911,2527720.46,1572652799999,483261.717571,1499,1179966.52,226773.976572,0,
1572652800000,0.1903,0.2024,0.1881,0.1954,3273725.12,1572739199999,638907.090765,2623,1327582.57,259151.143432,0,
1572739200000,0.1954,0.262,0.1929,0.2352,12606871.74,1572825599999,2827331.973509,9580,6201081.98,1394785.15933,0,
1572825600000,0.2328,0.2467,0.2174,0.2211,11232858.59,1572911999999,2571253.065267,7159,4643395.05,1061887.366538,0,
1572912000000,0.2215,0.2287,0.2104,0.2206,6719134.79,1572998399999,1461312.557734,4457,3034412.52,661734.072571,0,
1572998400000,0.2215,0.2272,0.2025,0.2028,4348726.7,1573084799999,940446.90743,2794,1411757.68,308598.464392,0,
1573084800000,0.2032,0.2231,0.2008,0.2203,5459661.46,1573171199999,1141240.59088,3369,2776550.64,582176.947118,0,
1573171200000,0.2196,0.2208,0.1985,0.2149,5359697.86,1573257599999,1121542.646575,3230,2428918.52,507615.615745,0,
1573257600000,0.2129,0.2231,0.2018,0.2056,3965826.21,1573343999999,842124.644588,2394,1493399.98,317571.355561,0,
1573344000000,0.2056,0.21,0.1991,0.1995,2438251.58,1573430399999,498166.459344,1787,881654.32,181181.53813,0,
1573430400000,0.1996,0.2027,0.1915,0.1951,2088239.06,1573516799999,411268.82736,1459,945974.59,186618.515024,0,
1573516800000,0.1952,0.196,0.1874,0.1916,1297003.57,1573603199999,249201.152082,1196,592884.5,113846.588738,0,
1573603200000,0.1914,0.196,0.1902,0.1932,948242.34,1573689599999,183117.199432,672,501728.44,96960.155484,0,
1573689600000,0.1945,0.195,0.1822,0.1825,1509655.21,1573775999999,281723.217085,1007,623885.53,115953.723296,0,
